group	type	ER
pbtGroup6_cat1	NoEx	3
pbtGroup6_cat2	NoEx	4
pbtGroup7_cat1	NoEx	1
pbtGroup7_cat2	NoEx	2
pbtGroup8_cat1	NoEx	0
pbtGroup8_cat2	NoEx	1
pbtGroup9_cat1	NoEx	0
pbtGroup9_cat2	NoEx	1
GSIgroup1_cat1	TotEx	1
GSIgroup1_cat2	TotEx	4
GSIgroup10_cat1	TotEx	14
GSIgroup10_cat2	TotEx	4
GSIgroup2_cat1	TotEx	4
GSIgroup2_cat2	TotEx	4
GSIgroup3_cat1	TotEx	4
GSIgroup3_cat2	TotEx	7
GSIgroup4_cat1	TotEx	4
GSIgroup4_cat2	TotEx	10
GSIgroup5_cat1	TotEx	3
GSIgroup5_cat2	TotEx	5
GSIgroup6_cat1	TotEx	-7
GSIgroup6_cat2	TotEx	-10
GSIgroup7_cat1	TotEx	8
GSIgroup7_cat2	TotEx	7
GSIgroup8_cat1	TotEx	-7
GSIgroup8_cat2	TotEx	-8
GSIgroup9_cat1	TotEx	-25
GSIgroup9_cat2	TotEx	-30
pbtGroup1_cat2	TotEx	NA
pbtGroup10_cat1	TotEx	NA
pbtGroup10_cat2	TotEx	NA
pbtGroup11_cat1	TotEx	NA
pbtGroup11_cat2	TotEx	NA
pbtGroup12_cat1	TotEx	NA
pbtGroup12_cat2	TotEx	NA
pbtGroup13_cat1	TotEx	NA
pbtGroup13_cat2	TotEx	NA
pbtGroup14_cat1	TotEx	NA
pbtGroup14_cat2	TotEx	NA
pbtGroup15_cat1	TotEx	NA
pbtGroup15_cat2	TotEx	NA
pbtGroup16_cat1	TotEx	NA
pbtGroup16_cat2	TotEx	NA
pbtGroup17_cat1	TotEx	NA
pbtGroup17_cat2	TotEx	NA
pbtGroup18_cat1	TotEx	NA
pbtGroup18_cat2	TotEx	NA
pbtGroup19_cat1	TotEx	NA
pbtGroup19_cat2	TotEx	NA
pbtGroup2_cat1	TotEx	NA
pbtGroup2_cat2	TotEx	NA
pbtGroup20_cat1	TotEx	NA
pbtGroup20_cat2	TotEx	NA
pbtGroup21_cat1	TotEx	NA
pbtGroup21_cat2	TotEx	NA
pbtGroup22_cat1	TotEx	NA
pbtGroup22_cat2	TotEx	NA
pbtGroup23_cat1	TotEx	NA
pbtGroup23_cat2	TotEx	NA
pbtGroup24_cat1	TotEx	NA
pbtGroup24_cat2	TotEx	NA
pbtGroup25_cat1	TotEx	NA
pbtGroup25_cat2	TotEx	NA
pbtGroup3_cat1	TotEx	NA
pbtGroup3_cat2	TotEx	NA
pbtGroup4_cat1	TotEx	NA
pbtGroup4_cat2	TotEx	NA
pbtGroup5_cat1	TotEx	NA
pbtGroup5_cat2	TotEx	NA
pbtGroup6_cat1	TotEx	NA
pbtGroup6_cat2	TotEx	NA
pbtGroup7_cat1	TotEx	NA
pbtGroup7_cat2	TotEx	NA
pbtGroup8_cat1	TotEx	NA
pbtGroup8_cat2	TotEx	NA
pbtGroup9_cat1	TotEx	NA
pbtGroup9_cat2	TotEx	NA
GSIgroup1_cat1	Ac	-1
GSIgroup1_cat2	Ac	0
GSIgroup10_cat1	Ac	8
GSIgroup10_cat2	Ac	-6
GSIgroup2_cat1	Ac	1
GSIgroup2_cat2	Ac	0
GSIgroup3_cat1	Ac	-1
GSIgroup3_cat2	Ac	0
GSIgroup4_cat1	Ac	-1
GSIgroup4_cat2	Ac	2
GSIgroup5_cat1	Ac	-2
GSIgroup5_cat2	Ac	-2
GSIgroup6_cat1	Ac	1
GSIgroup6_cat2	Ac	2
GSIgroup7_cat1	Ac	0
GSIgroup7_cat2	Ac	-4
GSIgroup8_cat1	Ac	-3
GSIgroup8_cat2	Ac	-1
GSIgroup9_cat1	Ac	-4
GSIgroup9_cat2	Ac	3
pbtGroup1_cat2	Ac	0
pbtGroup10_cat1	Ac	1
pbtGroup10_cat2	Ac	1
pbtGroup11_cat1	Ac	1
pbtGroup11_cat2	Ac	0
pbtGroup12_cat1	Ac	0
pbtGroup12_cat2	Ac	1
pbtGroup13_cat1	Ac	0
pbtGroup13_cat2	Ac	1
pbtGroup14_cat1	Ac	0
pbtGroup14_cat2	Ac	1
pbtGroup15_cat1	Ac	0
pbtGroup15_cat2	Ac	-1
pbtGroup16_cat1	Ac	-1
pbtGroup16_cat2	Ac	0
pbtGroup17_cat1	Ac	-1
pbtGroup17_cat2	Ac	-1
pbtGroup18_cat1	Ac	0
pbtGroup18_cat2	Ac	2
pbtGroup19_cat1	Ac	1
pbtGroup19_cat2	Ac	-1
pbtGroup2_cat1	Ac	0
pbtGroup2_cat2	Ac	0
pbtGroup20_cat1	Ac	-1
pbtGroup20_cat2	Ac	0
pbtGroup21_cat1	Ac	0
pbtGroup21_cat2	Ac	-1
pbtGroup22_cat1	Ac	-1
pbtGroup22_cat2	Ac	0
pbtGroup23_cat1	Ac	1
pbtGroup23_cat2	Ac	0
pbtGroup24_cat1	Ac	-1
pbtGroup24_cat2	Ac	1
pbtGroup25_cat1	Ac	0
pbtGroup25_cat2	Ac	3
pbtGroup3_cat1	Ac	0
pbtGroup3_cat2	Ac	-1
pbtGroup4_cat1	Ac	0
pbtGroup4_cat2	Ac	0
pbtGroup5_cat1	Ac	0
pbtGroup5_cat2	Ac	1
pbtGroup6_cat1	Ac	0
pbtGroup6_cat2	Ac	0
pbtGroup7_cat1	Ac	0
pbtGroup7_cat2	Ac	-1
pbtGroup8_cat1	Ac	0
pbtGroup8_cat2	Ac	0
pbtGroup9_cat1	Ac	0
pbtGroup9_cat2	Ac	1
GSIgroup1_cat1	MLE	-1
GSIgroup1_cat2	MLE	0
GSIgroup10_cat1	MLE	7
GSIgroup10_cat2	MLE	-7
GSIgroup2_cat1	MLE	1
GSIgroup2_cat2	MLE	0
GSIgroup3_cat1	MLE	-1
GSIgroup3_cat2	MLE	0
GSIgroup4_cat1	MLE	-1
GSIgroup4_cat2	MLE	2
GSIgroup5_cat1	MLE	-2
GSIgroup5_cat2	MLE	-2
GSIgroup6_cat1	MLE	1
GSIgroup6_cat2	MLE	2
GSIgroup7_cat1	MLE	0
GSIgroup7_cat2	MLE	-4
GSIgroup8_cat1	MLE	-3
GSIgroup8_cat2	MLE	-1
GSIgroup9_cat1	MLE	-4
GSIgroup9_cat2	MLE	4
pbtGroup1_cat2	MLE	0
pbtGroup10_cat1	MLE	1
pbtGroup10_cat2	MLE	1
pbtGroup11_cat1	MLE	1
pbtGroup11_cat2	MLE	0
pbtGroup12_cat1	MLE	0
pbtGroup12_cat2	MLE	1
pbtGroup13_cat1	MLE	0
pbtGroup13_cat2	MLE	1
pbtGroup14_cat1	MLE	0
pbtGroup14_cat2	MLE	1
pbtGroup15_cat1	MLE	0
pbtGroup15_cat2	MLE	-1
pbtGroup16_cat1	MLE	-1
pbtGroup16_cat2	MLE	0
pbtGroup17_cat1	MLE	-1
pbtGroup17_cat2	MLE	-1
pbtGroup18_cat1	MLE	0
pbtGroup18_cat2	MLE	2
pbtGroup19_cat1	MLE	1
pbtGroup19_cat2	MLE	-1
pbtGroup2_cat1	MLE	0
pbtGroup2_cat2	MLE	0
pbtGroup20_cat1	MLE	-1
pbtGroup20_cat2	MLE	0
pbtGroup21_cat1	MLE	1
pbtGroup21_cat2	MLE	-1
pbtGroup22_cat1	MLE	-1
pbtGroup22_cat2	MLE	0
pbtGroup23_cat1	MLE	1
pbtGroup23_cat2	MLE	0
pbtGroup24_cat1	MLE	0
pbtGroup24_cat2	MLE	1
pbtGroup25_cat1	MLE	1
pbtGroup25_cat2	MLE	4
pbtGroup3_cat1	MLE	0
pbtGroup3_cat2	MLE	-1
pbtGroup4_cat1	MLE	0
pbtGroup4_cat2	MLE	0
pbtGroup5_cat1	MLE	0
pbtGroup5_cat2	MLE	1
pbtGroup6_cat1	MLE	0
pbtGroup6_cat2	MLE	0
pbtGroup7_cat1	MLE	0
pbtGroup7_cat2	MLE	-1
pbtGroup8_cat1	MLE	0
pbtGroup8_cat2	MLE	0
pbtGroup9_cat1	MLE	0
pbtGroup9_cat2	MLE	1
