group	type	ER
pbtGroup11_cat1	TotEx	NA
pbtGroup11_cat2	TotEx	NA
pbtGroup12_cat1	TotEx	NA
pbtGroup12_cat2	TotEx	NA
pbtGroup13_cat1	TotEx	NA
pbtGroup13_cat2	TotEx	NA
pbtGroup14_cat1	TotEx	NA
pbtGroup14_cat2	TotEx	NA
pbtGroup15_cat1	TotEx	NA
pbtGroup15_cat2	TotEx	NA
pbtGroup16_cat1	TotEx	NA
pbtGroup16_cat2	TotEx	NA
pbtGroup17_cat1	TotEx	NA
pbtGroup17_cat2	TotEx	NA
pbtGroup18_cat1	TotEx	NA
pbtGroup18_cat2	TotEx	NA
pbtGroup19_cat1	TotEx	NA
pbtGroup19_cat2	TotEx	NA
pbtGroup2_cat1	TotEx	NA
pbtGroup2_cat2	TotEx	NA
pbtGroup20_cat1	TotEx	NA
pbtGroup20_cat2	TotEx	NA
pbtGroup21_cat1	TotEx	NA
pbtGroup21_cat2	TotEx	NA
pbtGroup22_cat1	TotEx	NA
pbtGroup22_cat2	TotEx	NA
pbtGroup23_cat1	TotEx	NA
pbtGroup23_cat2	TotEx	NA
pbtGroup24_cat1	TotEx	NA
pbtGroup24_cat2	TotEx	NA
pbtGroup25_cat1	TotEx	NA
pbtGroup25_cat2	TotEx	NA
pbtGroup3_cat1	TotEx	NA
pbtGroup3_cat2	TotEx	NA
pbtGroup4_cat1	TotEx	NA
pbtGroup4_cat2	TotEx	NA
pbtGroup5_cat1	TotEx	NA
pbtGroup5_cat2	TotEx	NA
pbtGroup6_cat1	TotEx	NA
pbtGroup6_cat2	TotEx	NA
pbtGroup7_cat1	TotEx	NA
pbtGroup7_cat2	TotEx	NA
pbtGroup8_cat1	TotEx	NA
pbtGroup8_cat2	TotEx	NA
pbtGroup9_cat1	TotEx	NA
pbtGroup9_cat2	TotEx	NA
GSIgroup1_cat1	Ac	-1
GSIgroup1_cat2	Ac	-1
GSIgroup10_cat1	Ac	2
GSIgroup10_cat2	Ac	3
GSIgroup2_cat1	Ac	0
GSIgroup2_cat2	Ac	0
GSIgroup3_cat1	Ac	1
GSIgroup3_cat2	Ac	0
GSIgroup4_cat1	Ac	1
GSIgroup4_cat2	Ac	-2
GSIgroup5_cat1	Ac	0
GSIgroup5_cat2	Ac	-2
GSIgroup6_cat1	Ac	0
GSIgroup6_cat2	Ac	-1
GSIgroup7_cat1	Ac	1
GSIgroup7_cat2	Ac	0
GSIgroup8_cat1	Ac	3
GSIgroup8_cat2	Ac	0
GSIgroup9_cat1	Ac	2
GSIgroup9_cat2	Ac	1
pbtGroup1_cat2	Ac	0
pbtGroup10_cat1	Ac	0
pbtGroup10_cat2	Ac	0
pbtGroup11_cat1	Ac	0
pbtGroup11_cat2	Ac	1
pbtGroup12_cat1	Ac	0
pbtGroup12_cat2	Ac	0
pbtGroup13_cat1	Ac	0
pbtGroup13_cat2	Ac	-1
pbtGroup14_cat1	Ac	0
pbtGroup14_cat2	Ac	0
pbtGroup15_cat1	Ac	-1
pbtGroup15_cat2	Ac	-1
pbtGroup16_cat1	Ac	0
pbtGroup16_cat2	Ac	1
pbtGroup17_cat1	Ac	-1
pbtGroup17_cat2	Ac	0
pbtGroup18_cat1	Ac	0
pbtGroup18_cat2	Ac	1
pbtGroup19_cat1	Ac	0
pbtGroup19_cat2	Ac	1
pbtGroup2_cat1	Ac	0
pbtGroup2_cat2	Ac	0
pbtGroup20_cat1	Ac	0
pbtGroup20_cat2	Ac	-1
pbtGroup21_cat1	Ac	-1
pbtGroup21_cat2	Ac	1
pbtGroup22_cat1	Ac	0
pbtGroup22_cat2	Ac	1
pbtGroup23_cat1	Ac	-1
pbtGroup23_cat2	Ac	-1
pbtGroup24_cat1	Ac	1
pbtGroup24_cat2	Ac	0
pbtGroup25_cat1	Ac	-1
pbtGroup25_cat2	Ac	-4
pbtGroup3_cat1	Ac	0
pbtGroup3_cat2	Ac	-1
pbtGroup4_cat1	Ac	0
pbtGroup4_cat2	Ac	0
pbtGroup5_cat1	Ac	0
pbtGroup5_cat2	Ac	-1
pbtGroup6_cat1	Ac	0
pbtGroup6_cat2	Ac	0
pbtGroup7_cat1	Ac	0
pbtGroup7_cat2	Ac	-1
pbtGroup8_cat1	Ac	0
pbtGroup8_cat2	Ac	0
pbtGroup9_cat1	Ac	0
pbtGroup9_cat2	Ac	1
GSIgroup1_cat1	MLE	-1
GSIgroup1_cat2	MLE	-1
GSIgroup10_cat1	MLE	1
GSIgroup10_cat2	MLE	1
GSIgroup2_cat1	MLE	-1
GSIgroup2_cat2	MLE	0
GSIgroup3_cat1	MLE	1
GSIgroup3_cat2	MLE	0
GSIgroup4_cat1	MLE	1
GSIgroup4_cat2	MLE	-2
GSIgroup5_cat1	MLE	0
GSIgroup5_cat2	MLE	-3
GSIgroup6_cat1	MLE	0
GSIgroup6_cat2	MLE	-1
GSIgroup7_cat1	MLE	0
GSIgroup7_cat2	MLE	0
GSIgroup8_cat1	MLE	3
GSIgroup8_cat2	MLE	0
GSIgroup9_cat1	MLE	2
GSIgroup9_cat2	MLE	1
pbtGroup1_cat2	MLE	0
pbtGroup10_cat1	MLE	0
pbtGroup10_cat2	MLE	0
pbtGroup11_cat1	MLE	0
pbtGroup11_cat2	MLE	1
pbtGroup12_cat1	MLE	0
pbtGroup12_cat2	MLE	0
pbtGroup13_cat1	MLE	0
pbtGroup13_cat2	MLE	-1
pbtGroup14_cat1	MLE	0
pbtGroup14_cat2	MLE	0
pbtGroup15_cat1	MLE	-1
pbtGroup15_cat2	MLE	-1
pbtGroup16_cat1	MLE	0
pbtGroup16_cat2	MLE	1
pbtGroup17_cat1	MLE	-1
pbtGroup17_cat2	MLE	0
pbtGroup18_cat1	MLE	0
pbtGroup18_cat2	MLE	1
pbtGroup19_cat1	MLE	0
pbtGroup19_cat2	MLE	1
pbtGroup2_cat1	MLE	0
pbtGroup2_cat2	MLE	0
pbtGroup20_cat1	MLE	0
pbtGroup20_cat2	MLE	-1
pbtGroup21_cat1	MLE	-1
pbtGroup21_cat2	MLE	2
pbtGroup22_cat1	MLE	0
pbtGroup22_cat2	MLE	1
pbtGroup23_cat1	MLE	-1
pbtGroup23_cat2	MLE	-1
pbtGroup24_cat1	MLE	1
pbtGroup24_cat2	MLE	1
pbtGroup25_cat1	MLE	0
pbtGroup25_cat2	MLE	-3
pbtGroup3_cat1	MLE	0
pbtGroup3_cat2	MLE	-1
pbtGroup4_cat1	MLE	0
pbtGroup4_cat2	MLE	0
pbtGroup5_cat1	MLE	0
pbtGroup5_cat2	MLE	-1
pbtGroup6_cat1	MLE	0
pbtGroup6_cat2	MLE	0
pbtGroup7_cat1	MLE	0
pbtGroup7_cat2	MLE	-1
pbtGroup8_cat1	MLE	1
pbtGroup8_cat2	MLE	0
pbtGroup9_cat1	MLE	0
pbtGroup9_cat2	MLE	1
